iter	Passed	Remaining
0	2	2806
1	5	2793
2	8	2734
3	10	2727
4	13	2646
5	15	2590
6	18	2558
7	20	2588
8	23	2595
9	26	2633
10	29	2659
11	32	2716
12	36	2739
13	38	2745
14	42	2758
15	45	2775
16	48	2791
17	52	2847
18	55	2848
19	58	2849
20	60	2834
21	63	2817
22	66	2838
23	69	2815
24	71	2799
25	74	2774
26	76	2771
27	79	2755
28	82	2754
29	85	2752
30	87	2737
31	90	2731
32	92	2721
33	95	2708
34	97	2693
35	100	2680
36	102	2664
37	104	2653
38	107	2643
39	109	2634
40	112	2625
41	114	2614
42	117	2605
43	119	2602
44	122	2598
45	125	2593
46	127	2590
47	130	2587
48	133	2585
49	135	2579
50	138	2571
51	140	2562
52	142	2554
53	145	2547
54	147	2542
55	150	2533
56	152	2526
57	155	2520
58	157	2514
59	160	2509
60	163	2515
61	166	2514
62	168	2512
63	171	2510
64	174	2509
65	177	2508
66	180	2511
67	183	2518
68	186	2520
69	189	2513
70	191	2507
71	194	2501
72	196	2494
73	198	2488
74	201	2481
75	203	2477
76	206	2472
77	208	2465
78	211	2461
79	213	2456
80	215	2450
81	218	2444
82	220	2441
83	223	2435
84	225	2430
85	228	2425
86	230	2420
87	233	2416
88	235	2411
89	237	2405
90	240	2400
91	242	2394
92	245	2389
93	247	2386
94	250	2382
95	252	2379
96	255	2375
97	257	2371
98	260	2367
99	262	2361
100	264	2357
101	267	2353
102	269	2348
103	272	2349
104	275	2347
105	278	2345
106	282	2355
107	286	2367
108	289	2369
109	292	2367
110	295	2367
111	298	2369
112	301	2368
113	304	2368
114	307	2367
115	311	2370
116	314	2372
117	317	2371
118	320	2371
119	322	2367
120	327	2378
121	330	2376
122	334	2383
123	337	2382
124	339	2378
125	343	2384
126	346	2382
127	350	2388
128	353	2385
129	356	2386
130	359	2383
131	362	2380
132	365	2383
133	369	2389
134	373	2394
135	377	2400
136	381	2400
137	383	2396
138	387	2402
139	390	2400
140	393	2397
141	396	2395
142	399	2391
143	403	2398
144	406	2395
145	409	2394
146	412	2391
147	414	2387
148	418	2391
149	421	2389
150	424	2386
151	427	2383
152	430	2381
153	432	2376
154	435	2371
155	439	2378
156	442	2378
157	446	2377
158	448	2373
159	451	2369
160	455	2373
161	458	2370
162	461	2370
163	464	2367
